GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Complex,d^2 of S and B,d^2 of S and C,d^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,16,55,1,11,4,16,2,9,1,4,,0.774647887,0.916666667,11,23,115.5,129.5,8556.25,11342.25,196
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.new Iterable() {...},0,15,0,0,0,2,0,2,0,2,,1,0.83,2,137.5,67,25.5,4970.25,12544,1722.25
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,0,215,0,20,0,58,0,27,0,17,,1,1,27,137,172,178,1225,1681,36
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationErrorEvent,0,48,0,0,0,13,0,6,0,6,,1,0.83,6,136.5,66.5,95.5,4900,1681,841
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,0,64,0,6,0,20,0,9,0,6,,1,1,9,136,170.5,117,1190.25,361,2862.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,0,174,1,21,0,45,1,23,0,13,,1,0.954545455,24,135.5,127.5,172,64,1332.25,1980.25
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationEvent,0,78,0,0,0,17,0,5,0,5,,1,0.83,5,135,66,82.5,4761,2756.25,272.25
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,0,75,0,2,0,16,0,6,0,5,,1,1,6,134.5,168,94,1122.25,1640.25,5476
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.EventListenerIterator,0,111,0,14,0,33,0,16,0,9,,1,1,16,134,167.5,146.5,1122.25,156.25,441
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler.new ConfigurationInterpolator() {...},0,5,0,0,0,2,0,2,0,2,,1,0.83,2,133.5,65.5,25,4624,11772.25,1640.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,0,304,0,46,0,67,0,41,0,18,,1,1,41,133,166,183.5,1089,2550.25,306.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler.new ValueTransformer() {...},0,5,0,0,0,2,0,2,0,2,,1,0.83,2,132.5,65,24.5,4556.25,11664,1640.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,26,0,0,0,7,0,5,0,5,,1,0.83,5,132,64.5,80,4556.25,2704,240.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,0,169,0,26,0,44,0,18,0,5,,1,1,18,131.5,163.5,151.5,1024,400,144
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,121,1046,22,132,18,192,23,78,1,23,,0.896315338,0.857142857,101,31,101,193,4900,26244,8464
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,5,0,0,0,1,0,1,0,1,,1,0.83,1,130,64,4.5,4356,15750.25,3540.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,5,133,1,21,1,27,1,17,0,7,,0.963768116,0.954545455,18,45,121,150,5776,11025,841
