GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank.N,Rank.O,Rank.P,D*2(Q&R),"D*2(Q,S)",D*2(R&S)
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingCombinedConfigurationBuilder,0,85,0,4,0,28,0,11,0,9,1,1,11,109.5,138.5,108.5,841,1,900
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder,0,47,0,0,0,13,0,6,0,6,1,0.83,6,109,56.5,80.5,2756.25,812.25,576
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,2,108.5,56,22,2756.25,7482.25,1156
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.new EventListener() {...},0,27,0,0,0,6,0,2,0,2,1,0.83,2,108,55.5,21.5,2756.25,7482.25,1156
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,6,231,0,20,1,68,1,34,1,24,0.974683544,1,35,38,135,147,9409,11881,144
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,2,417,2,30,1,105,2,35,0,21,0.99522673,0.9375,37,44,95,148,2601,10816,2809
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,1,61,1,3,0,15,1,5,0,4,0.983870968,0.75,6,41,18,78,529,1369,3600
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,0,65,0,2,0,19,0,5,0,4,1,1,5,104.5,132.5,68.5,784,1296,4096
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,0,152,0,10,0,33,0,17,0,12,1,1,17,104,132,125,784,441,49
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder.new CombinedReloadingController() {...},0,37,0,2,0,10,0,3,0,2,1,1,3,103.5,131.5,41,784,3906.25,8190.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,2,103,54,21,2401,6724,1089
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,6,242,0,18,2,61,0,26,0,17,0.975806452,1,26,38,130,135,8464,9409,25
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedConfigurationBuilder,0,276,1,39,0,84,1,38,0,19,1,0.975,39,101.5,98.5,143,9,1722.25,1980.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.EventSourceSupport,0,34,0,0,0,4,0,1,0,1,1,0.83,1,101,53.5,4,2256.25,9409,2450.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,AutoSaveListener,0,73,0,12,0,22,0,13,0,7,1,1,13,100.5,127.5,106,729,30.25,462.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,HierarchicalBuilderParametersImpl,0,22,0,0,0,6,0,3,0,3,1,0.83,3,100,53,38.5,2209,3782.25,210.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderParametersImpl,0,39,0,0,0,10,0,5,0,5,1,0.83,5,99.5,52.5,64,2209,1260.25,132.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager.DefaultHandlerData,0,47,1,11,0,12,1,8,0,3,1,0.916666667,9,99,85.5,90,182.25,81,20.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,CopyObjectDefaultHandler,0,33,0,2,0,13,0,4,0,3,1,1,4,98.5,124,51.5,650.25,2209,5256.25
