GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,rank.N,rank.o,rank.p,d^2(Q and R),d^2(Q and S),d^2(R and S)
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,3,110.5,57,121,2862.25,110.25,4096
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.new EventListener() {...},0,27,0,0,0,6,0,2,0,2,1,0.83,6,110,56.5,120,2862.25,100,4032.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,6,231,0,20,1,68,1,34,1,24,0.974683544,1,69,40,137,168,9409,16384,961
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,2,417,2,30,1,105,2,35,0,21,0.99522673,0.9375,107,46,96,142.5,2500,9312.25,2162.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,1,61,1,3,0,15,1,5,0,4,0.983870968,0.75,16,43,19,54,576,121,1225
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,0,65,0,2,0,19,0,5,0,4,1,1,19,106.5,134.5,165,784,3422.25,930.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,0,152,0,10,0,33,0,17,0,12,1,1,33,106,134,164,784,3364,900
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder.new CombinedReloadingController() {...},0,37,0,2,0,10,0,3,0,2,1,1,10,105.5,133.5,163,784,3306.25,870.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,3,105,55,118,2500,169,3969
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,6,242,0,18,2,61,0,26,0,17,0.975806452,1,61,40,132,161,8464,14641,841
